brand,model,color,line,productGroup,baseTitle
"Cuisinart","CCG190RB","Red",,,"Cuisinart Charcoal Grill"
"Dyna-Glo","DGO1890BDC-D","Black",,,"Dyna-Glo Offset Charcoal Smoker"
"DIMESHY",,"stainless steel",,,
"Realcook",,"17"" Charcoal",,,"Realcook Charcoal BBQ Smoker Grill Vertical for Outdoor Cooking"
"Masterbuilt","MB20150618","Red",,,
"Dyna-Glo","DGW1235BDP-D","Black",,,
"Char-Broil",,,,,"Char-Broil Classic 360 3-Burner Gas Grill"
"Entsong",,,,,"Bucket"
"Char-Broil","463673519P1","Stainless Steel",,,"Char-Broil Performance 2-Burner Cabinet Gas Stainless"
"Realcook",,,,,"Realcook Cold Smoke Generator"
"Lodge","SMSR","Stainless Steel",,,
"Coleman","2000003735","white",,,
"Dyna-Glo",,,,,"Dyna-Glo Signature Series DGSS1382VCS-D Heavy-Duty Vertical Offset Charcoal Smoker Grill"
"Weber","61011001","Black",,,"Weber II Grill"
"Smoak Firewood","KilnDriedBoxOak16x16x18","Firewood",,,"Smoak Firewood Kiln Dried Premium Oak includes firestarter Logs"
"Weber","61086001","Deep Ocean Blue",,,
"Traeger",,"black",,,"Traeger Grills Ranger Grill TBT18KLD Wood Pellet and Smoker Black"
"Royal Gourmet","PD1301R","Red",,,"Royal Gourmet 24-Inch 3-Burner Portable Table Top Gas Grill Griddle 25 500 BTUs"
"Skoo","S6","Silver",,,
"Elite Gourmet","EMG-980BSC","Black",,,"Maxi Matic Elite Gourmet EMG 980B Indoor Electric Grill, 14 Round,"
"Pellethead",,,,,
"Napoleon","P500RSIBPSS-3","Stainless Steel",,,"Napoleon Prestige"
"Jealous Devil",,"Brown",,,"Jealous Devil Blox Hickory Natural Hardwood"
"Z GRILLS","ZPG-450A","450 Sq in Bronze",,,
"Napoleon","P500NK-3","Black",,,"Napoleon Prestige"
"ELLIS SCHOFIELD",,"Black",,,"ELLIS SCHOFIELD Charcoal Grill Barbecue Portable BBQ Stainless Steel Folding Tabletop Outdoor Smoker for Picnic Garden Terrace Camping Travel"
"Z GRILLS","ZPG-700D","700 sq in Copper",,,"Z GRILLS Wood Pellet Grill Smoker in 1 BBQ Auto Temperature Control sq"
"CREATIVECHEF",,"Silver",,,"CREATIVECHEF SG16 Smoking Gun Cocktail Smoker Smoke Infuser Food to Enhance Taste for Meat Sous Vide BBQ Drinks Cheese"
"Weber","40020","Black",,,"Weber Grill"
"Char-Broil",,,,,
"BLOSSOMZ","BLZ-39980","Black",,,
"Char-Broil",,,,,
"Cuisinart","COS-116","16"" Charcoal",,,"Cuisinart"
"Char-Griller","E06614","Red",,,"Char-Griller Charcoal Grill"
"Smokehouse","9999-940-0000","Silver",,,
"Giantex","GT70617-PO","Black",,,
"Camp Chef","PLAP",,,,"Camp Chef"
"Old Smokey","18","white",,,
"TIZZE",,,,,
"Weber","1141001","Black",,,
"Dracarys",,,,,"cast Iron Grate BBQ high Heat Charcoal Plate for fire Parts Replacement"
"Grill Parts For Less",,,,,
"Dyna-Glo","DGU732BDE-D","Black",,,"Dyna-Glo 30"
"Kona",,"Sweetwood Blend",,,"Kona Smoker Grilling Pound"
"Magma","A10-104","Multi",,,"Magma Products Marine Kettle Charcoal Grill w Hinged Lid Size Multi"
"MYCRITEE",,"Hexagonal",,,
"Char-Griller",,"Graphite",,,"Char-Griller AKORN Kamado Charcoal Grill"
"Weber","66015001","Black",,,"Genesis II Grill"
"Realcook",,,,,
"Char-Griller","06620","Red",,,"Char-Griller AKORN Kamado Charcoal Grill"
"Z GRILLS",,"Bronze",,,"Z GRILLS Wood Pellet Grill"
"ASMOKE",,"Pine Green",,,"ASMOKE Portable Wood Pellet Grill and Smoker 8 in 1 BBQ Set AS300 256 Sq. in. Cooking Area"
"Aoxun",,"Red",,,
"Char-Broil",,"red",,,"Char-Broil Classic 280 2-Burner Liquid Propane Gas Grill"
"FireBlack","EU-W07-NKS-W8I","black",,,
"George Foreman","GFO3320GM","Gunmetal",,,
"MASTER COOK","Classic Liquid Propane Gas Grill","Black",,,
"3F Dealz",,"silver",,,
"Char-Broil","17202002-A1","Black",,,"Char-Broil Electric Smoker"
"Napoleon","P500RSIBPK-3","Black",,,"Napoleon Prestige"
"ASMOKE",,"Cinder Black",,,"ASMOKE Portable Wood Pellet Grill and Smoker 8 in 1 BBQ Set AS300 256 Sq. in. Cooking Area"
"Camp Chef",,"Black",,,"Camp Chef Pellet Grill"
"Twin Eagles",,,,,
"Camp Chef",,"black",,,"Camp Chef PG24MZG SmokePro Slide Smoker with Fold Down Front Shelf Wood Pellet Grill Pack of 1 Black"
"Raptor Grilling","VR20000","Black",,,"Raptor Grilling Portable Charcoal Grill"
"Royal Gourmet","GB8000","Black",,,
"ARC Advanced Royal Champion",,"4242",,,"ARC 000 BTU Outdoor Propane Regulator Hose for and"
"Amazon Basics","63353","black",,,"Charcoal Grill"
"Kaduf",,"Silver",,,
"Magma","A10-803","Multi",,,"Magma Products Series Gas"
"Napoleon","P500RSIBNCH-3","Charcoal Grey",,,"Napoleon Prestige"
"Char-Griller","E56720","Blue",,,"Char-Griller AKORN Kamado Charcoal Grill"
"Hunsaker Smokers",,"Steel",,,"Hunsaker Smokers Griddle Plate for 22 Kettle Grill"
"Masterbuilt","MB20071117","40” Black + Window",,,"Masterbuilt Digital Electric Smoker"
"Pilot Rock","CBP-135",,,,
"Char-Broil","20602109","Red",,,"Char-Broil Patio Bistro TRU-Infrared Electric Grill"
"Goplus",,"Black",,,
"Kuuma","58110","Silver",,,"Kuuma Stainless Steel Mountable Grill for and More Stow Go"
"Z GRILLS",,"Silver",,,
"Weber","55020001","grey",,,"Weber Grill"
"Kona",,,,,
"Weber","46510001","Black",,,
"Cuisinart","CGG-180","Petit Gourmet Gas Grill with VersaStand",,,
"Masterbuilt","MB20072918","Black",,,
"RMYHOME",,,,,"RMYHOME BBQ Liquid Propane Gas Grill Stainless Steel Patio Garden Barbecue with Built in Thermometer Removable Wheels"
"Kenmore","PG-4030400LD-TL-AM","Teal",,,"Kenmore 3 Burner Outdoor Patio Gas BBQ Propane Grill"
"VESSILS",,"Grey",,,
"Happybuy",,"Folded Portable Charcoal BBQ Grill",,,"Happybuy Folded Portable Charcoal BBQ Grill Outdoor Barbecue Camping Stainless Steel Kebab Folding Perfect for Home Use"
"Lovt",,"Round Grill Pan - L(24.5CM)",,,"Japanese Style BBQ Grill Barbecue Portable Stove Food Charcoal Household Tools Accessories"
"Blackstone","1565","Silver / Black",,,
"Kaven","P00272","Gold",,,"Kaven Smoking Gun Handheld Smoker Food for Meat Veggies BBQ Sous Vide Fruit Cocktail Cheese"
"Kenmore","PG-4030400LD-AM","Black",,,"Kenmore 3 Burner Outdoor Patio Gas BBQ Propane Grill"
"OTEKSPORT",,"silver",,,
"NOTO DIA",,,,,"Shichirin Hida Konro"
"Napoleon","P665RSIBPK","Black",,,"Napoleon Prestige"
"Dracarys",,"Black",,,"Dracarys BBQ Feet Shoes Grill of set"
"BIG HORN OUTDOORS",,"Black",,,
"Uten",,"silver",,,"Barbecue Grill Portable Charcoal BBQ for Outdoor"
"NOTO DIA",,,,,"Shichirin Hida Konro"
"Napoleon","P500PSS-3","Stainless Steel",,,"Napoleon Prestige"
"Weber","67006001","Stainless Steel",,,"Weber II Grill"
"Char-Griller","26720","Brown",,,"Char-Griller AKORN Kamado Charcoal Grill"
"LavaLock",,"silver red black",,,
"Napoleon","P665RSIBNSS","Stainless Steel",,,"Napoleon Prestige"
"CREATIVECHEF",,"Golden",,,"CREATIVECHEF SG18 Portable Smoker Smoke Gun Infuser Food to Enhance Taste for Meat Sous Vide BBQ Cocktail Drinks Cheese"
"Masterbuilt",,,,,
"Simple Living Products","SL-9-Stool","Grey",,,"Simple Living Products Indoor Smokeless Grill Non Stick Infrared Cooking Surface BBQ Custom Recipe"
"Royal Gourmet","GD401","Black",,,"Royal Gourmet GD401 Portable Propane Gas Grill and Griddle Combo with Side Table 4-Burner Folding Legs Versatile Outdoor Black"
"Weber","711001","Black",,,"Weber Smokey Mountain Cooker Charcoal Smoker"
"Char-Griller","E1515","Black",,,
"Cuisinart","CEG-980T","Stainless Steel",,,"Cuisinart Outdoor Electric Grill"
"Traeger","TFB78GLEC","Black",,,"Traeger Pro 780 Grill"
"Blackstone","1825","black",,,"1825 36 Accessory Griddle with Side Shelf, 36 inch 4 Burner W/New"
"Royal Gourmet",,,,,
"Char-Griller","3055","Black",,,
"Royal Gourmet","PD1300","Black",,,"Royal Gourmet Portable Griddle"
"Char-Griller",,"Graphite",,,"Char-Griller AKORN Kamado Charcoal Grill"
"Masterbuilt","MB20041220","Black",,,"Masterbuilt Gravity Series Digital Charcoal Grill Smoker Black"
"Texsport","15110","Black",,,"Texsport Heavy Duty Camp Grill"
"Masterbuilt",,"black",,,"Masterbuilt Bluetooth Digital Electric Smoker"
"Cuisinart","CFGS-150","Folding Grill Stand",,,"Cuisinart Grill Stand"
"Dyna-Glo","DGY784BDP","Black",,,
"Weber","61025001","Copper",,,"Genesis II Grill"
"Realcook",,,,,"Realcook Cold Smoke Generator"
"KampFit","KF-SK-Hexagon-6in","Silver",,,
"VESSILS",,"Blue",,,
"BBQFAM",,,,,"BBQFAM EZ Smoker Tube The Hexagonal Pellet Smoke on Instagram and FB- our 3 popular"
"Char-Broil",,,,,"Char-Broil Classic 360 3-Burner Gas Grill"
"Cuisinart","CAP-1010","Aluminum Drip Trays",,,"Cuisinart"
"Unifit",,,,,"Unifit 120V AC 15A Electric Smoker Grill Analog Temperature Controller up to 1750 Watts 1"
"Char-Broil",,,,,"Char-Broil Electric Smoker"
"Cibicon",,,,,"Under the Electric Smoker Mat"
"Weber","52020001","Gray",,,
"Primo","778+370",,,,
"Pit Boss Grills","75275",,,,
"Char-Broil","463874717","Black",,,"Char Broil Classic 4 Burner Liquid Propane Gas Grill"
"Char-Broil","463370719","Stainless Steel",,,
"Camp Chef","FTG600",,,,
"Kenmore","PG-4030400LD-PE-AM","Pearl",,,"Kenmore 3 Burner Outdoor Patio Gas BBQ Propane Grill"
"Napoleon","P500PK-3","Black",,,"Napoleon Prestige"
"Dyna-Glo",,,,,"Dyna-Glo DGN576SNC-D Dual Zone Premium Charcoal Grill"
"Masterbuilt","MB20100112","Black",,,"Masterbuilt Black"
"MECO","9325.8.181","Satin Black",,,
"Traeger","TFB30KLF","Black",,,
"Megamaster","820-0065C","Red + Black",,,
"Samdray",,"Silver",,,
"Z GRILLS","ZPG-6002B","601 sq in Copper",,,"New Model Wood Pellet Grill Smoker"
"LeFroom",,"14 inch",,,"LeFroom Charcoal Grill Outdoor Courtyard Picnic Roast Meat Home BBQ Oven"
"Pellet Guide",,,,,
"IMAGE",,"Black",,,
"Kingsford Grilling","BB16532","Silver",,,
"Giantex","OP3525New","Black",,,
"ISUMER","ISUMERbbq04","Grey",,,
"Camp Chef","PG24MZG","Black",,,"Camp Chef PG24MZG SmokePro Slide Smoker with Fold Down Front Shelf Wood Pellet Grill Pack of 1 Black"
"Napoleon","P665PK","Black",,,"Napoleon Prestige"
"Char-Broil","463773817-P2",,,,"Char-Broil Classic 360 3-Burner Gas Grill with Side Burner"
"Pellet Guide",,,,,
"Napoleon","PRO665RSIBNSS-3","Stainless Steel",,,"Napoleon Prestige PRO Gas Grill Stainless Steel"
"Kamado Joe","KJ23RHC","Blaze Red",,,"Kamado Joe KJ23RHC Classic II Charcoal Grill,"
"Masterbuilt","MB20040919","Black",,,"Masterbuilt Charcoal Grill Black"
"TACKLIFE",,,,,"TACKLIFE Portable Propane Grill in Tabletop Griddle with Burners Stainless Steel Ideal for Outdoor Cooking Camping Tailgating or Picnicking"
"Weber","121020","Black",,,
"IMSurQltyPrise","Smoker - 12"" Hexagon","12"" Hexagon",,,"Smoker Tube Box for Pellets Grill"
