brand,model,color,line,productGroup,baseTitle
"Joovy","8121","Red",,,"JOOVY New Groove Ultralight Umbrella Stroller"
"Joovy",,"Red",,,"JOOVY Caboose Too Graphite Stand-On Tandem Stroller"
"Maxi-Cosi","TR414EMR","Nomad Sand",,,"Maxi-Cosi Zelia Max Travel System"
"Disney Jr T.O.T.S.","49161","Multi-color",,"Toy",
"Graco","2047763","Evanston",,"Baby Product",
"Lascal","5-26300","Black",,,"Lascal BuggyBoard Maxi Ride-On Stroller The Board To"
"UPPAbaby","0420-CRZ-NA-EMT","Green",,,
"Cybex","521000613","Deep Black",,,"CYBEX Libelle Stroller"
"Bugaboo",,"Steel Blue",,,"Bugaboo Ant Baby Stroller Lightweight Foldable Travel and Compact Storage Fits in Overhead Compartments Reversible Reclinable"
"Baby Trend","ST21A09A","Duke",,"Baby Product",
"Chicco","06079609950070","Black",,,
"Evenflo","55421894","Spearmint Spree",,,
"Baby Jogger","2082704","Black",,,
"Baby Joy","BB4880","Black",,,
"Bugaboo","231122GM01","Aluminum / Grey Melange",,,"Bugaboo Fox 2 Complete Full-Size Stroller The Most Advanced Comfort"
"Joovy","00848","Silver",,,"Joovy Twin Roo Car Seat"
"Joovy","8141","Red",,,"JOOVY Caboose Graphite Stroller Stand On Tandem"
"Happybuy",,"Blue",,,
"Evenflo","63012263","Wayfarer",,,"Pivot Xplore Stroller Wagon Seat"
"BRITAX","U751905","Raven",,,"BRITAX B-Lively Stroller Easy Fold Infinite Raven Recline Front Access Storage"
"ZOE","XL2 BEST v2","Eloise Plum",,,"Twin Zoe XL2 Best Double Stroller Everyday with Umbrella"
"Maclaren","WD1G100792","Orange",,,"Maclaren Stroller- Lightweight Compact"
"Baby Trend","SS27D27A","Blue",,,
"Baby Jogger","BJC12203","Black",,,
"Baby Trend","ST21B79A","Parakeet",,,
"Ethan & Emma","EEOSV1B","Black",,,
"Baby Joy","BB4880","Green",,,
"Evenflo","55411874","Hayden Dot",,,"Vive Travel System"
"Baby Jogger","2042013","Slate",,,"Baby Jogger City Tour LUX Stroller"
"Inglesina","AG85H0NCTUS/D","Citronella/Light Green",,,"Inglesina Net Stroller"
"Evenflo","57312205","Avenue",,,"Evenflo Folio3 Stroll Jog Travel System LiteMax 35 Infant Car Seat"
"Baby Trend","NT27C87A","Grey/Black",,,
"Baby Jogger","2013551","Black",,,
"Baby Jogger","1959409","Amethyst",,,"Baby Jogger City"
"Joovy","8177","Black",,"Baby Product",
"Baby Jogger","2011479","Port",,,"Baby Jogger City Select LUX Second Seat"
"Summer Infant","32952","Myria",,,
"Child Craft","F99039.03","Regatta Blue",,,
"UPPAbaby","0420-CRZ-NA-BRY","White",,,
"Thule","10101952","Black/Silver",,,"Thule Glide Performance Jogging Stroller"
"Evenflo","53112310","Onyx",,,"Evenflo Gold Pivot Xpand Travel System"
"Chicco","07079103840070","Titan",,,
"UPPAbaby","0719-GLK-US-JKE","Black",,,
"Dreambaby","L2214","Grey",,,"Dreambaby Stroller Blanket Clips"
"Inglesina","AG87M0ONBUS/D","Onyx Black",,,"Inglesina Quid Stroller"
"Maclaren","WM1Y123312","Denim",,,"Maclaren Twin Triumph Stroller- Lightweight Compact and Easy to"
"Graco",,"Ames",,,
"Drive Medical","TR 8025","Black",,,
"Gaggle",,"Teal",,,"Gaggle Compass 4-Seat Quad Stroller with Canopy 5-Point Harness Foot-Brake"
"Blahoo","808A","Blue",,,"Blahoo Stroller with"
"Graco","1934809","Glacier 2015",,,"Graco Relay Travel System SnugRide 35 Infant Car Seat"
"Baby Jogger","1959386","Black",,,
"Maxi-Cosi","CV324ETL","Nomad Grey",,,"Maxi-Cosi Lila Modular Stroller One Size"
"BRITAX","S12777300",,,,
"Joovy","8219","Grey",,,"Joovy Caboose S Too Double Stroller Stand on Tandem Premium Sit and Melange"
"Munchkin","61380","Happy Traveler Set",,,"Brica Car"
"ZOE",,"Noah Grey",,,
"Maxi-Cosi","CV364EMQ","Nomad Blue",,,"Maxi-Cosi Lara Lightweight Ultra Compact Stroller Nomad One Size"
"Mountain Buggy","NANO_V2__5","Black",,,
"Jovial","JPC20BK","Black",,,
"Hot Mom",,"Dark Grey",,,"Baby Stroller 360 Degree Rotation Function Hot Mom Carrige PU Leather Pushchair Pram 2021 Grey"
"ZOE",,"Lime Green",,,"ZOE XL1 Best Tandem Lightweight Travel Everyday Umbrella Stroller System"
"Baby Trend","SS76430","Pistachio",,,
"UPPAbaby","0420-CRZ-NA-ALC","Pink",,,
"Bumbleride","SP-365MB","Maritime Blue",,,"Bumbleride Speed Jogging Stroller"
"UPPAbaby","0420-CRZ-NA-JOR","Grey",,,
"UPPAbaby","0420-CRZ-NA-SRA",,,,
"Babyzen",,"Black",,,
"Jeep","11709-2246","Red Triangle",,,
"Graco",,"Rafa",,,
"UPPAbaby","0320-VIS-US-JOR/0214/0920-RBS-US-JOR","Jordan",,,
"gb",,"Laguna Blue",,,"GB Pockit Go Stroller Bundle Infant Carrier and Seat Inlay"
"Babyzen",,"Black",,,
"coballe","KBL-809","Pink",,,"Pivot Modular Travel System with SafeMax Car Seat High Landscape Infant Stroller Reversible Bassinet Pram Foldable Pushchair Adjustable Canopy Storage Basket Cup Holder Suspension Wheels"
"Chicco",,"Q Collection",,,
"Evolur","521-GRY","Grey",,,"Evolur Voyager Stroller One-Hand Easy Fold Ultra Lightweight Compact Baby Best Used for Airplane Car Travel Safe Comfortable Smooth Ride Carries up to 50 Pounds"
"Wonfuss","WON001","Pink",,,
"Joovy","9077","Black Melange",,,"JOOVY Qool Second Seat"
"Maclaren","WD1G010192","Silver/Black",,,"Maclaren Volo Stroller"
"Joovy","8157","Black",,,"Joovy Big Caboose Graphite Triple Stroller Stand on Tandem"
"HONEY JOY",,"Grey",,,
"UPPAbaby","0818-MIN-US-JOR","Charcoal Melange/Silver/Black Leather",,,
"Mia Moda","496-R","Red",,,"Mia Moda Facile Umbrella Stroller"
