brand,model,color,aid,title
"gb","619000247","Red","AIDI34I45001","gb Pockit+ All City Rose Red Lightweight Baby Stroller, Umbrella Stroller, Collapsible, Travel-Friendly, Folds into Backpack,Reclining Seat, UPF50+ Sun Canopy, Pockit Plus"
"Maclaren","AOX21012",,"AIDHUL2L5001","Maclaren Single Buggy Locker Bag / Stroller Bag AOX21012"
"Joovy",,"Gray","AIDQ90U84001","Joovy Qool Single Stroller with Maxi COSI/Cybex/Nuna Car Seat Adapter, Standard Stroller, Travel System, Grey Melange"
"Summer Infant","32683","Road Royal","AIDG04I45001","Summer 3DtoteCS+ Convenience Stroller, Road Royal"
"TXTC",,"Denim Blue","AIDED5N74001","3 in 1 Foldable Pram Stroller Travel System Baby Stroller,Compact Convertible Carriage Stroller,5-Point Harness and High Storage Basket (Color : Denim Blue)"
"Ansee","diaper backpack",,"AID3F3I45001","Baby Jogger Stroller Organizer Diaper Bag Large Capacity Universal Fit with Shoulder Strap Cup Holder Removable Diaper Changing Pad (Blue)"
"Cybex","515211020","Moon Dust","AIDNL6I74001","CYBEX Agis M-Air4 Baby Stroller, Moon Dust"
"Big Oshi","STR-921-GP","Grey With Pink","AIDY1F2L5001","Big Oshi Lexington Stroller, Grey & Pink"
"Joovy","8002","Apple","AID67G2L5001","Joovy Qool Single Stroller, Apple"
,,"Dark Shadow","AIDOGC2L5001","Urban Glide 1 and Car Seat Adapter"
"Little Tikes","23385","Grey","AIDHCJ3O4001","Little Tikes Stroll N' Go Lightweight Stroller with Umbrella Fold, Grey (Discontinued by Manufacturer)"
"Heay",,"Black","AIDCTME74001","3 in 1 Pushchair Stroller, High Landscape Anti-Shock Baby Stroller, Travel System Infant Carriage,Portable Infant Pram,Compact Convertible Luxury Strollers (Color : Black)"
"phil&teds",,"Black","AIDYDG2L5001","Phil&Teds Sport Buggy Stroller with Double Kit V5, Black | SPORTPR-V5-5"
"Tivoli Couture","USM - Seattle","Seattle","AIDPEI2L5001","Tivoli Couture Universal Stroller Hand Muff, Seattle"
"Joovy","8033","Purpleness","AIDDTVS72001","Joovy Too Qool Silver Double Tandem Stroller, Purpleness"
"Wonder buggy","WB701SBK","Black","AID4VI3O4001","Wonder Buggy All Town Rider Light Weight Four Position Aluminum Stroller with Sun Visor, Black, One Size"
"phil&teds","SMLUX_V1_5_200_USA","Black","AIDGGMI74001","phil&teds Smart Lux Stroller, Black"
"Cybex",,"Rebellious","AIDOK9A74001","Cybex Rebellious Collection Priam Trekking Complete Stroller"
"Kolcraft",,"Blue","AID3M3I45001","Cloud Sport Lightweight Stroller, Blue"
"Cosco",,"Black & White","AIDV2G2L5001","Cosco Commuter Travel System, Zahari"
"Wonder buggy",,"Simple Black","AID9KG2L5001","Wonder Buggy Lightweight Stroller for Baby, Foldable Stroller with Flexible Canopy and Cup Holder, Suitable for 6 Month or up Baby, Color Black"
"Joovy","8038","Avocado","AID1OG2L5001","Joovy Too Qool Silver Double Tandem Stroller, Avocado"
"Maxi-Cosi","CV254DTC","Sparkling Grey","AIDBI3I45001","Maxi-Cosi Kaia Special Edition Stroller, Sparkling Grey"
,,"Red","AID7D6Y64001","【US Spot】 5-in-1 Kids Tricycle, Baby Ride-On Trike Steer Stroller Toy Bike w/Canopy, Safety Seat, Storage Basket, Foot Pedals, Foldable Steer Stroller for Children (Red)"
"valco baby",,"Grey","AID2HVS72001","Valco baby Snap 4 Trend Lightweight Stroller 2020 (Grey)"
"Strolly",,"Red","AIDJPVS72001","Strolly Compact - Portable and Foldable Stroller (Red)"
"Stokke","468202","Purple","AID3P3I45001","Stokke Xplory V5 Stroller, Purple"
"Baby Jogger",,"Granite","AID9G3I45001","Baby Jogger City Select LUX Stroller, Granite"
"Mamas & Papas","758490900",,"AIDZ8F2L5001","Mamas & Papas - All Mine Travel Charm"
"INNOVA","16*1.75/2.125","black","AID4T4G84001","2 x Baby Trend Expedition Stroller/Jogger/Push Chair Rear Inner Tubes 16"" - Straight Valve"
"Zooper","BU822E","Sunset","AID4N3I45001","Zooper Twist Escape Stroller, Sunset"
"My Babiie","US51PC","Pink","AIDOI3I45001","My Babiie Pink Chevron Baby Stroller – Lightweight Baby Stroller with Carry Handle – Silver Frame and Pink Chevron Canopy – Lightweight Travel Stroller – Suitable from Birth 0months – 33 lbs"
"JJ Cole","JRSZCP","Plumberry","AID0PF2L5001","JJ Cole Monroe Canopy, Plumberry"
"VGEBY1",,,"AID2HTC84001","VGEBY1 Stroller Umbrella Stand, Retractable Umbrella Holder Frame Bracket for Bicycle, Baby Stroller, MBC, Pram."
"Joovy","8029","Harris","AIDC1H2L5001","Joovy Qool Silver Single Stroller, Charcoal"
"Eddie Bauer",,"Black","AIDB8WV64001","Eddie Bauer Womens 2 Piece Jogger Pajama Set, Ladies Sleepwear - Black, Medium"
"Peg Perego","IP0228NA79RO21EB21","Mod Bluette","AID73G2L5001","Peg Perego Book Cross Jogging Stroller, Mod Bluette"
"Combi",,"Plus AF Red","AID6R4F34001","Combi Ultra Lightweight F2 AF Plus Umbrella Stroller | 8.25 Lbs Total Weight | Reclining Back & Shock-Absorbing Frame | One-Touch Harness w/Full Mesh Seating | Easy Lock Wheels & XL Canopy | Red"
"Chicco",,"Silver","AID6V3I45001","Chicco Bravo Stroller - Replacement Front Wheel"
"Department Store",,"Gray","AIDPS5X74001","Department Store Strollers Lightweight Folding Baby Stroller Can Sit Can Lie Can On The Airplane Travel System Children Pram for Newborn Compact Travel Baby Carriage (Color : Gray)"
"Babyhome","Emotion","Sky","AID8FH2L5001","BabyHome Emotion Stroller - Sky"
"Ryride",,"Grey","AIDRY9GL4001","Ryride Baby Lightweight Stroller, Baby Umbrella Strollers for Infant & Stroller, Foldable Compact Stroller for Travel"
